stt,he_thong,truong_bao_cao,y_nghia,bang_dtm,cot_dtm,trang_thai,ghi_chu
12,CLOS,CREDIT_LIMIT,Số tiền phê duyệt,DIM_CLOS_APPLICATION,CREDIT_LIMIT_COMMITTEE,KHOP,"Đổi đường JOIN (review 2026-09-21): APPLICATION_SK có sẵn trên FCT_CLOS_WORKSTEP_EVENT → DIM_CLOS_APPLICATION.CREDIT_LIMIT_COMMITTEE (cột dư thừa mới, cùng nguồn/giá trị với FCT_CLOS_APPLICATION_DAILY.CREDIT_LIMIT_COMMITTEE cột 51, nguồn NG_SB_CLOS_CREDITINFO_COMM.CREDIT_LIMIT) — không cần JOIN fan-out qua WI_NAME sang APPLICATION_DAILY nữa. Cùng nguồn/cột với BC2.CREDIT_LIMITS (lld/BC2.csv#29)"
13,CLOS,CURRENCY,Đơn vị tiền tệ,DIM_CLOS_APPLICATION,CURRENCY_CODE,KHOP,"Đổi đường JOIN (review 2026-09-21, cùng lý do dòng 12): APPLICATION_SK → DIM_CLOS_APPLICATION.CURRENCY_CODE (cột dư thừa mới), cùng nguồn NG_SB_CLOS_CREDITINFO_COMM.CURRENCY"
14,CLOS,CREDIT_TERM,Thời hạn phê duyệt,DIM_CLOS_APPLICATION,APPROVED_TERM,KHOP,"Đổi đường JOIN (review 2026-09-21, cùng lý do dòng 12): APPLICATION_SK → DIM_CLOS_APPLICATION.APPROVED_TERM (cột dư thừa mới), cùng nguồn NG_SB_CLOS_CREDITINFO_COMM.CREDIT_TERM"
15,CLOS,TYPES_OF_COLLATERALS,Loại TSBĐ,FCT_CLOS_COLLATERAL,COLLATERAL_TYPE_CODE,KHOP,"Cột 7 — nguồn NG_SB_CLOS_COLL_CD.COLLTYPE trực tiếp (CLOS chỉ có 1 nguồn tài sản, không cần cột phái sinh tổng hợp như RLOS). Xác nhận tại HLD_FCT_SB_DWH.md:1416-1423"
16,CLOS,APPRAISED_VALUE,Giá trị định giá,FCT_CLOS_COLLATERAL,APPRAISED_VALUE,KHOP,"Cột 11 — nguồn NG_SB_CLOS_COLL_CD.APPRAISED_VAL_FIG, ép kiểu số từ text định dạng Việt Nam"
17,CLOS,DESCRIPTION,Mô tả TSBĐ,FCT_CLOS_COLLATERAL,DESCRIPTION,KHOP,Cột 8 — nguồn NG_SB_CLOS_COLL_CD.DESCRIPTION (CLOB)
18,CLOS,OWNER,Chủ TSBĐ,FCT_CLOS_COLLATERAL,OWNER_NAME,KHOP,Cột 9 — nguồn NG_SB_CLOS_COLL_CD.COLL_OWNER
19,CLOS,LTV,Tỷ lệ cho vay của TSBĐ,FCT_CLOS_COLLATERAL,LOAN_RATE_LTV,KHOP,Cột 12 — nguồn NG_SB_CLOS_COLL_CD.LTV
20,CLOS,COLLATERA_MANAGEMENT,Phương thức quản lý TSBĐ,FCT_CLOS_COLLATERAL,COLL_MGMT_METHOD,KHOP,"Cột 10 — nguồn NG_SB_CLOS_COLL_CD.COLL_MGMT_APP. Ghi chú HLD: 'người dùng thường không nhập trường này trên live nên phần lớn sẽ rỗng, nhưng BC3 vẫn liệt kê nên phải nạp' (HLD_FCT_SB_DWH.md:1402)"
21,RLOS,SYSTEMNAME,Hệ thống (CLOS/RLOS),FCT_RLOS_WORKSTEP_EVENT,DATASOURCE,KHOP,"Đổi nguồn từ FCT_RLOS_APPLICATION_DAILY sang FCT_RLOS_WORKSTEP_EVENT (review 2026-09-21) — cùng lý do nhánh CLOS (dòng 1): BC3 là event-grain report, nested table SRS BC3 (BR 1.2) nêu rõ WHERE WORKSTEP_CODE IN ('CreditApproval','CreditCommittee') AND DECISION_CODE IN ('Submit','Reject','Send To HOSupport','Send To PostSanction') trực tiếp trên NG_SB_RLOS_ENTRY_EXIT (a). DATASOURCE có sẵn trên bảng này, cố định 'RLOS'"
22,RLOS,STREAM,Luồng hồ sơ,DIM_RLOS_APPLICATION,STREAM,KHOP,"Đổi đường JOIN (review 2026-09-21): APPLICATION_SK có sẵn trên FCT_RLOS_WORKSTEP_EVENT → DIM_RLOS_APPLICATION.STREAM, nguồn NG_SB_RLOS_APPROVAL.STREAM (SRS ghi 'STEAM' — coi là lỗi đánh máy của SRS)"
23,RLOS,WINAME,Mã hồ sơ,FCT_RLOS_WORKSTEP_EVENT,WI_NAME,KHOP,"Đổi nguồn từ FCT_RLOS_APPLICATION_DAILY sang FCT_RLOS_WORKSTEP_EVENT (review 2026-09-21, cùng lý do dòng 21) — WI_NAME là 1 phần PK của bảng event. Report lọc WHERE WORKSTEP_CODE IN ('CreditApproval','CreditCommittee') AND DECISION_CODE IN ('Submit','Reject','Send To HOSupport','Send To PostSanction')"
24,RLOS,CUSTOMER_NAME,Tên khách hàng,DIM_RLOS_APPLICANT,FULL_NAME,KHOP,"Đổi đường JOIN (review 2026-09-21): APPLICANT_SK có sẵn trực tiếp trên FCT_RLOS_WORKSTEP_EVENT (bổ sung khi giải quyết BC4, xem HLD_FCT_SB_DWH.md 1.3.2.7 cột 26) → DIM_RLOS_APPLICANT.FULL_NAME (2.3.1.10), không cần JOIN qua APPLICATION_DAILY nữa. Nguồn gốc vẫn NG_SB_RLOS_APPLICANT_GENERAL.FULL_NAME — cùng cột đã dùng cho BC1.CUSTOMER_NAME (lld/BC1.csv#11)"
25,RLOS,WORKSTEP,Bước hồ sơ,FCT_RLOS_WORKSTEP_EVENT,WORKSTEP_CODE,KHOP,"Đóng PENDING (review 2026-09-21) — cùng lý do/công thức nhánh CLOS (dòng 5): nested table SRS BC3 xác nhận WHERE WORKSTEP_CODE IN ('CreditApproval','CreditCommittee') AND DECISION_CODE IN ('Submit','Reject','Send To HOSupport','Send To PostSanction') trực tiếp trên NG_SB_RLOS_ENTRY_EXIT. WORKSTEP_CODE là giá trị của chính dòng event đã lọc, không phải LAST_WORKSTEP_SK"
26,RLOS,DECISION,Quyết định,FCT_RLOS_WORKSTEP_EVENT,DECISION_CODE,KHOP,"Đóng PENDING (review 2026-09-21) — cùng lý do nhánh CLOS (dòng 6): DECISION_CODE của chính dòng event đã lọc WHERE, không phải LAST_DECISION_SK"
27,RLOS,BI_APPROVER,User Chuyên gia phê duyệt,FCT_RLOS_WORKSTEP_EVENT,USERNAME,KHOP,"Đổi nguồn (review 2026-09-21, cùng lý do dòng 7 nhánh CLOS): CASE WHEN WORKSTEP_CODE='CreditApproval' THEN USERNAME END trên chính dòng event đang xét. Cùng cột đã dùng cho BC1.BI_APPROVER (lld/BC1.csv#84)"
28,RLOS,BI_COMMITTEE,User Hội đồng tín dụng,FCT_RLOS_WORKSTEP_EVENT,USERNAME,KHOP,"Đính chính + đóng PENDING (review 2026-09-21): ghi chú PENDING trước đó ('COMMITTEE_USER không xuất hiện trong danh sách cột FCT_RLOS_APPLICATION_DAILY') đã LỖI THỜI — COMMITTEE_USER thực tế CÓ tồn tại (cột 22, HLD_FCT_SB_DWH.md dòng ~1709). Nhưng đằng nào cũng không cần cột đó nữa: đổi nguồn sang FCT_RLOS_WORKSTEP_EVENT, CASE WHEN WORKSTEP_CODE='CreditCommittee' THEN USERNAME END trên chính dòng event — cùng cơ chế BI_APPROVER (dòng 27). RLOS xác nhận CÓ bước CreditCommittee thật (WHERE của nested table SRS liệt kê WORKSTEP IN ('CreditApproval','CreditCommittee') cho cả CLOS và RLOS)"
29,RLOS,ENTRYDATE,Thời gian lên bước phê duyệt,FCT_RLOS_WORKSTEP_EVENT,ENTRYDATE,KHOP,"Đóng PENDING (review 2026-09-21) — cùng lý do nhánh CLOS (dòng 9): ENTRYDATE của chính dòng event đã lọc WHERE, không phải LAST_ENTRYDATE"
30,RLOS,EXITDATE,Ngày báo cáo /Thời gian kết thúc bước phê duyệt,FCT_RLOS_WORKSTEP_EVENT,EXITDATE,KHOP,"Đóng PENDING (review 2026-09-21) — cùng lý do nhánh CLOS (dòng 10): EXITDATE của chính dòng event đã lọc WHERE (luôn đã EXIT vì DECISION đã có giá trị Submit/Reject/...), không phải LAST_EXITDATE/LAST_APPROVAL_DATE"
31,RLOS,REMARKS,Ghi chú,FCT_RLOS_WORKSTEP_EVENT,REMARKS,KHOP,"Đổi nguồn từ FCT_RLOS_APPLICATION_DAILY.LAST_REMARKS (review 2026-09-21, cùng lý do dòng 11 nhánh CLOS) — REMARKS của chính dòng event đã lọc WHERE, cùng cột đã dùng cho BC1.LAST_REMARKS (lld/BC1.csv#45)"
32,RLOS,CREDIT_LIMIT,Số tiền phê duyệt,DIM_RLOS_APPLICATION,APPROVED_AMT_FINAL,KHOP,"Đổi đường JOIN (review 2026-09-21): APPLICATION_SK có sẵn trên FCT_RLOS_WORKSTEP_EVENT → DIM_RLOS_APPLICATION.APPROVED_AMT_FINAL (cột dư thừa mới, cùng nguồn/giá trị với FCT_RLOS_APPLICATION_DAILY.APPROVED_AMT_FINAL cột 51, nguồn NG_SB_RLOS_CREDIT_PROPOSAL.LOAN_AMOUNT) — không cần JOIN fan-out qua WI_NAME sang APPLICATION_DAILY nữa. Cùng cột đã dùng cho BC1.LOAN_AMOUNT (lld/BC1.csv#68)"
33,RLOS,CURRENCY,Đơn vị tiền tệ,DIM_RLOS_APPLICATION,CURRENCY_CODE,KHOP,"Đổi đường JOIN (review 2026-09-21, cùng lý do dòng 32): APPLICATION_SK → DIM_RLOS_APPLICATION.CURRENCY_CODE (cột dư thừa mới), cùng nguồn NG_SB_RLOS_CREDIT_PROPOSAL.LOAN_CURRENCY. ⚠️ BC1 không khai thác cột này nhưng cột đã sẵn có trên DIM"
34,RLOS,CREDIT_TERM,Thời hạn phê duyệt,DIM_RLOS_APPLICATION,APPROVED_TERM,KHOP,"Đổi đường JOIN (review 2026-09-21, cùng lý do dòng 32): APPLICATION_SK → DIM_RLOS_APPLICATION.APPROVED_TERM (cột dư thừa mới), cùng nguồn NG_SB_RLOS_CREDIT_PROPOSAL.LOAN_TERM. Cùng cột đã dùng cho BC1.LOAN_TERM (lld/BC1.csv#69)"
35,RLOS,TYPES_OF_COLLATERALS,Loại TSBĐ,FCT_RLOS_COLLATERAL,TYPES_OF_COLLATERALS,KHOP,"Cột 22 (PHÁI SINH, thiết kế riêng cho đúng BC3) — CASE theo COLLATERAL_TYPE_CODE chọn cột chi tiết tương ứng: REALESTATE→CERTIFICATE_NO(NO_CERTI), TRANSPORT→VEHICLE_TYPE(TYPE_VEHICLE), VALPAPER→VALPAPER_TYPE(TYPE1), OTHER→DESCRIPTION(DESCRIBE). Đúng nguyên văn UNION 4 bảng của SRS (HLD_FCT_SB_DWH.md:1811)"
36,RLOS,APPRAISED_VALUE,Giá trị định giá,FCT_RLOS_COLLATERAL,APPRAISED_VALUE,KHOP,"Cột 20 — UNION PRICING_VALUE/PRICINGVALUE của 4 bảng grid tài sản, ép kiểu số từ text định dạng Việt Nam"
37,RLOS,DESCRIPTION,Mô tả TSBĐ,FCT_RLOS_COLLATERAL,DESCRIPTION,KHOP,"Cột 9 (PHÁI SINH, thiết kế riêng — không dùng chung với cột 22): UNION theo loại tài sản — BĐS: NO_CERTI||', '||USING_PURPOSE; PTVT: BRAND||', '||CONTROL_POSTER; GTCG: NUMBERSIGN; Khác: DESCRIBE. Đúng nguyên văn SRS BC3, khác BC1 không dùng cột này (HLD_FCT_SB_DWH.md:1798)"
38,RLOS,OWNER,Chủ TSBĐ,FCT_RLOS_COLLATERAL,OWNER_NAME,KHOP,Cột 10 — UNION OWNER của 4 bảng grid tài sản. Cùng cột đã dùng cho BC1.OWNERSHIP (lld/BC1.csv#25)
39,RLOS,LTV,Tỷ lệ cho vay của TSBĐ,FCT_RLOS_COLLATERAL,LOAN_RATE_LTV,KHOP,Cột 21 — UNION LOANRATE của 4 bảng grid tài sản
