stt,truong_bao_cao,y_nghia,bang_dtm,cot_dtm,trang_thai,ghi_chu
18,CURRENT_RESIDENTIAL_CITY,Địa chỉ hiện tại (Tỉnh/TP),DIM_RLOS_GEO,CITY_NAME,KHOP,"Join qua DIM_RLOS_APPLICANT.GEO_SK → DIM_RLOS_GEO (2.3.1.8, bê 1:1 từ SB_DWH 1.3.1.8, nguồn H_NG_SB_RLOS_MAS_CITY)"
19,CURRENT_RESIDENTIAL_DISTRICT,Địa chỉ hiện tại (Quận/Huyện),DIM_RLOS_GEO,DISTRICT_NAME,KHOP,"Cùng join GEO_SK ở trên, nguồn H_NG_SB_RLOS_MAS_DISTRICT"
20,CURRENT_RESIDENTIAL_WARD,Địa chỉ hiện tại (Phường/Xã),DIM_RLOS_APPLICANT,CURR_WARD,KHOP,"Nguồn NG_SB_RLOS_APPLICANT_DETAIL.WARD_CURR_RES — nằm trên DIM_RLOS_APPLICANT, không phải DIM_RLOS_GEO"
21,CURRENT_RESIDENTIAL_ADDRESS,Địa chỉ hiện tại chi tiết,DIM_RLOS_APPLICANT + DIM_RLOS_GEO,"CURR_HOUSE_NO, CURR_WARD (APPLICANT) + CITY_NAME, DISTRICT_NAME (GEO)",KHOP,"PHÁI SINH ở tầng report: ghép chuỗi CURR_HOUSE_NO || ', ' || CURR_WARD || ', ' || DISTRICT_NAME || ', ' || CITY_NAME — không có cột vật lý ghép sẵn trong HLD, cần ghép tại lớp báo cáo"
22,MARRIAGE_STATUS,Tình trạng hôn nhân,DIM_RLOS_APPLICANT,MARRIAGE_STATUS,KHOP,Nguồn NG_SB_RLOS_APPLICANT_DETAIL.MARR_STATUS
23,EDUCATION_LEVEL,Trình độ học vấn,DIM_RLOS_APPLICANT,EDUCATION_LEVEL,KHOP,Nguồn NG_SB_RLOS_APPLICANT_DETAIL.EDU_LEVEL
24,VEHICLES,Phương tiện đi lại,DIM_RLOS_APPLICANT,VEHICLE,KHOP,Nguồn NG_SB_RLOS_APPLICANT_DETAIL.VEHICLE
25,OWNERSHIP,Sở hữu nhà ở,FCT_RLOS_COLLATERAL,OWNER_NAME,KHOP,"UNION OWNER của 4 bảng grid tài sản RLOS (HLD_FCT_SB_DWH.md:1799) — không còn là bảng riêng NG_SB_RLOS_COL_REALESTATE, đã hợp nhất vào FCT_RLOS_COLLATERAL"
26,CO_REPAYER,Tên người đồng trả nợ,DIM_RLOS_COREPAYER,FULL_NAME,KHOP,"DIM_RLOS_COREPAYER (2.3.1.11, tách từ FCT_LOS_APPLICATION_PARTY cũ) — join qua COREPAYER_SK trên FCT_RLOS_APPLICATION_PARTY"
27,ADD_ID_COREPAYER,"Số ""TCC"" và ""CC"" của người đồng trả nợ",DIM_RLOS_COREPAYER,ADD_ID_COREPAYER,KHOP,"PHÁI SINH: pivot NG_SB_RLOS_COREP_IDGRID.ID_NUMBER lọc ID_TYPE IN ('TCC','CC')"
28,ADD_ID_OTHER_COREPAYER,Số GTTT khác của người đồng trả nợ,DIM_RLOS_COREPAYER,ADD_ID_OTHER_COREPAYER,KHOP,"PHÁI SINH: pivot ID_NUMBER lọc ID_TYPE NOT IN ('TCC','CC')"
29,EMPLOYEE_CODE,Mã CRO,DIM_RLOS_APPLICATION,EMPLOYEE_CODE,KHOP,Nguồn NG_SB_RLOS_APPLICANT_GENERAL.EMPLOYEE_CODE
30,EMPLOYEE_NAME,Tên CRO,DIM_RLOS_APPLICATION,EMPLOYEE_NAME,KHOP,Nguồn NG_SB_RLOS_APPLICANT_GENERAL.EMPLOYEE_NAME
31,ZONE,Khu vực hoạt động,DIM_RLOS_APPLICANT,ZONE,KHOP,"Đổi nguồn (review 2026-09-21, theo yêu cầu người dùng): thay vì dùng DIM_LOS_ORG_UNIT.ZONE (mã nội bộ chuẩn hóa, thuộc tính ĐƠN VỊ KINH DOANH), đưa thẳng giá trị tự khai gốc lên DIM_RLOS_APPLICANT.ZONE (cột 17, làm giàu từ NG_SB_RLOS_APPLICANT_GENERAL.ZONE, cùng bảng nguồn với FULL_NAME/GENDER/DOB đã có trên DIM này) — đúng bản chất thuộc tính HỒ SƠ/KHÁCH HÀNG, khớp nguyên văn SRS (NG_SB_RLOS_APPLICANT_GENERAL> ZONE). Join qua FCT_RLOS_APPLICATION_DAILY.APPLICANT_SK → DIM_RLOS_APPLICANT (2.3.1.10). Không còn liên quan DIM_LOS_ORG_UNIT/ORG_UNIT_SK cho trường này"
32,BRANCH_CODE,Mã Chi nhánh,DIM_LOS_ORG_UNIT,BRANCH_CODE,KHOP,"Join qua FCT_RLOS_APPLICATION_DAILY.ORG_UNIT_SK (công thức lookup: COMPANY_CODE=NG_SB_RLOS_APPLICANT_GENERAL.COMPANY_CODE, review 2026-09-21) → DIM_LOS_ORG_UNIT (2.1.1, nguồn MAS_COMPANY.BRANCH_ID)"
33,BRANCH_NAME,Tên Chi nhánh,DIM_LOS_ORG_UNIT,BRANCH_NAME,KHOP,Nguồn MAS_BRANCH.BRANCH_NAME_VN
34,COMPANY_CODE,Mã PGD,DIM_LOS_ORG_UNIT,COMPANY_CODE,KHOP,Nguồn MAS_COMPANY.COMPANY_CODE — cũng là NK của DIM
35,COMPANY_NAME,Tên PGD,DIM_LOS_ORG_UNIT,COMPANY_NAME,KHOP,Nguồn MAS_COMPANY.COMPANY_NAME_VN
36,APP_GRP,Cấp phân quyền phê duyệt,DIM_RLOS_APPLICATION,APP_GRP,KHOP,Nguồn NG_SB_RLOS_APPROVAL.APP_GRP. DIM_RLOS_APPROVAL_GROUP cũ đã bị loại bỏ hoàn toàn — cột này bê thẳng lên DIM_RLOS_APPLICATION (review 2026-09-18)
37,PRODUCT_LINE,Dòng sản phẩm,DIM_RLOS_PRODUCT,PRODUCT_LINE_CODE (hoặc PRODUCT_LINE_NAME),KHOP,Join qua FCT_RLOS_APPLICATION_DAILY.PRODUCT_SK → DIM_RLOS_PRODUCT (2.3.1.2). DIM_RLOS_APPLICATION không có PRODUCT_SK trực tiếp — phải qua FCT
38,SUB_PRODUCT,Sản phẩm nhánh,DIM_RLOS_PRODUCT,SUB_PRODUCT_CODE (hoặc SECONDARY_PRODUCT),KHOP,"Cùng join PRODUCT_SK ở trên, DIM_RLOS_PRODUCT 12 cột (tăng từ 8, review 2026-09-18)"
39,SECONDARY_PRODUCTLINE,Có sản phẩm phụ (YES/NO),DIM_RLOS_APPLICATION,IS_SEC_PRODUCT,KHOP,"Nguồn NG_SB_RLOS_APPLICANT_GENERAL.IS_SEC_PRODUCT. Cũng dùng làm khóa tra SLA (map Có→YES/Không→NO), xem cột 27-34"
40,SAN_PHAM_PHU,Sản phẩm phụ chi tiết,FCT_RLOS_SUB_PRODUCT,SUB_PRODUCT_LINE,KHOP,"FCT_RLOS_SUB_PRODUCT (2.3.2.4, cột 8) — nguồn NG_SB_RLOS_SUB_PRODUCT.SUB_PRODUCT_LINE"
41,LAST_WORKSTEP,Bước hồ sơ cuối cùng,FCT_RLOS_APPLICATION_DAILY,LAST_WORKSTEP,KHOP,"Cột 81 (bổ sung tại PDTD_DTM) — LEFT JOIN Q_RLOS_REF_WORKSTEP_2SYSTEMS để chuẩn hóa tên bước dùng chung 2 hệ. Khác LAST_WORKSTEP_SK (cột 6, khóa nội bộ tới DIM_RLOS_WORKSTEP)"
42,PRE_WORKSTEP,Bước hồ sơ trước đó,FCT_RLOS_APPLICATION_DAILY,PRE_WORKSTEP_CODE,KHOP,"Cột 41 — LAG theo ENTRYDATE, bê 1:1 từ SB_DWH"
43,LAST_ENTRYDATE,Thời gian vào bước cuối,FCT_RLOS_APPLICATION_DAILY,LAST_ENTRYDATE,KHOP,Cột 35 — ENTRYDATE của sự kiện hoàn tất gần nhất
44,LAST_EXITDATE,Thời gian kết thúc bước cuối,FCT_RLOS_APPLICATION_DAILY,LAST_EXITDATE,KHOP,Cột 36
45,LAST_REMARKS,Ghi chú ý kiến bước cuối,FCT_RLOS_APPLICATION_DAILY,LAST_REMARKS,KHOP,Cột 43
46,LAST_REMARK_DDE,Ghi chú tại bước nhập liệu DDE,FCT_RLOS_APPLICATION_DAILY,LAST_REMARK_DDE,KHOP,Cột 44 — REMARK tại bước DetailDataEntry
47,LAST_DECISION,Quyết định tại bước cuối,FCT_RLOS_APPLICATION_DAILY,LAST_DECISION_SK,KHOP,Cột 7 — khóa tới DIM_RLOS_DECISION; giá trị hiển thị lấy qua join DIM_RLOS_DECISION.DECISION
48,UNDERWRITERMAKER_TAKERESPON,CV Thẩm định chịu trách nhiệm,FCT_RLOS_APPLICATION_DAILY,UNDERWRITERMAKER_TAKERESPON,KHOP,"Cột 76, PHÁI SINH đúng nguyên văn SRS. ⚠️ CẢNH BÁO: nguồn NG_SB_RLOS_USER_MAKE_WORK_STEP không có trong DS_BANG_202608.xlsx — chưa xác nhận tồn tại thật trên DB (PENDING kỹ thuật riêng của HLD, không phải lỗi mapping)"
49,UNDERWRITERCHECKER_TAKERESPON,Kiểm soát thẩm định chịu trách nhiệm,FCT_RLOS_APPLICATION_DAILY,UNDERWRITERCHECKER_TAKERESPON,KHOP,Cột 77. Cùng cảnh báo nguồn NG_SB_RLOS_USER_MAKE_WORK_STEP như trên
50,APPROVAL_TAKERESPON,Chuyên gia phê duyệt chịu trách nhiệm,FCT_RLOS_APPLICATION_DAILY,APPROVAL_TAKERESPON,KHOP,Cột 78. Cùng cảnh báo nguồn NG_SB_RLOS_USER_MAKE_WORK_STEP như trên
51,TSBD_BDS,Hồ sơ có TSBĐ là BĐS (YES/NO),FCT_RLOS_COLLATERAL,IS_ASSET_FORMED,KHOP,Cột 18 — nguồn PROPERTY của COL_REALESTATE. Lọc kèm COLLATERAL_TYPE_CODE='REALESTATE' để xác định đúng dòng BĐS
52,TSBD_PTVT,Hồ sơ có TSBĐ là PTVT (YES/NO),FCT_RLOS_COLLATERAL,IS_ASSET_FORMED,KHOP,"Cùng cột 18, lọc COLLATERAL_TYPE_CODE='TRANSPORT'"
53,TSBD_GTCG,Hồ sơ có TSBĐ là GTCG (YES/NO),FCT_RLOS_COLLATERAL,NUMBERSIGN,KHOP,Cột 17 — NUMBERSIGN IS NOT NULL → YES (COLLATERAL_TYPE_CODE='VALPAPER')
54,GCN_REAL_ESTATE,Số GCN TSBĐ là BĐS,FCT_RLOS_COLLATERAL,CERTIFICATE_NO,KHOP,"Cột 8, lọc WHERE COLLATERAL_TYPE_CODE='REALESTATE' — đúng ghi chú thiết kế tách lại 2 field BC1 từ 1 cột vật lý gộp"
55,GCN_OTHER,Số GCN TSBĐ là PTVT/Khác,FCT_RLOS_COLLATERAL,CERTIFICATE_NO,KHOP,"Cùng cột 8, lọc WHERE COLLATERAL_TYPE_CODE<>'REALESTATE'"
56,PROPERTY_FORMED,Tài sản hình thành từ vốn vay không? (YES/NO),FCT_RLOS_COLLATERAL,IS_FORMED_FROM_LOAN,KHOP,Cột 19 — review 2026-09-17 đã ĐÍNH CHÍNH lại đúng SRS: giá trị trả về là COL_TYPE (không phải cờ Y/N passthrough như thiết kế cũ hiểu nhầm). ⚠️ Cần BA/DEV xác nhận cấu trúc NG_SB_RLOS_DISB_COL_GRID (không có trong Metadata)
57,TSBD_RELATIONSHIP,Mối quan hệ chủ tài sản và KH,FCT_RLOS_COLLATERAL,REL_TO_CUSTOMER,KHOP,Cột 11 — UNION REL_CUSTOMER/RELATION_CUSTOMER của 4 bảng grid tài sản
58,DEVIATION,Hồ sơ có ngoại lệ (YES/NO),DIM_RLOS_APPLICATION,DEVIATION_FLAG,KHOP,"Nguồn NG_SB_RLOS_APPLICANT_GENERAL.DEVIATION_FLAG (DQ-11, đã giải quyết — ưu tiên SRS hơn Metadata). ⚠️ Cần DEV xác nhận cột tồn tại thật trên DB (Metadata Column Review không liệt kê)"
59,POLICY,Chính sách áp dụng,DIM_RLOS_APPLICATION,POLICY,KHOP,Nguồn NG_SB_RLOS_APPLICANT_GENERAL.POLICY
60,CAMPAIGN,Mã chương trình tiếp thị,DIM_RLOS_APPLICATION,CAMPAIGN,KHOP,Nguồn NG_SB_RLOS_APPLICANT_GENERAL.CAMPAIGN
61,PROOF_OF_INCOME,Nguồn thu nhập,DIM_RLOS_APPLICATION,PROOF_OF_INCOME,KHOP,"PHÁI SINH: CASE 'proofincome01'→CHUNGTU_CHUNGMINH_THUNHAP, 'proofincome02'→BANGKE_THUNHAP"
62,REPAYMENT_SOURCE,Loại nguồn thu,FCT_RLOS_APPLICATION_DAILY,REPAYMENT_SOURCE,KHOP,"Cột 72 — nối tên tiếng Việt các nguồn thu đang bật (10 cột *FLAG, cột 61-70)"
63,TOTAL_INCOME,Tổng thu nhập phê duyệt,FCT_RLOS_APPLICATION_DAILY,TOTAL_INCOME,KHOP,Cột 57 — nguồn NG_SB_RLOS_REPAY_CALC.TOT_INC_CALC
64,LOAN_TO_VALUE,Tỷ lệ LTV (%),FCT_RLOS_APPLICATION_DAILY,LOAN_TO_VALUE,KHOP,Cột 54 — nguồn NG_SB_RLOS_CREDIT_PROPOSAL(_APP).LOAN_TO_VALUE
65,K_TYPE,Loại thẻ tín dụng,FCT_RLOS_APPLICATION_DAILY,T24_CARD_SK → STG_DIM_CARD.K_TYPE,KHOP,"Đính chính (review 2026-09-21): đã đặt sẵn khóa T24_CARD_SK trên FCT_RLOS_APPLICATION_DAILY (PDTD_DTM, 2.3.2.1 cột 82), lookup theo RESULT_MAIN_CARD_ID (có sẵn trên DIM_RLOS_APPLICATION) = STG_DIM_CARD.MAIN_ID — đúng pattern T24_CUSTOMER_SK đã áp dụng. Người dùng xác nhận STG_DIM_CARD chắc chắn tồn tại trên hệ thống (khác tình trạng NG_SB_CLOS_USER_MAKE_WORK_STEP) — đóng KHOP. ⚠️ Còn cần DBA/DEV cung cấp cấu trúc cột đầy đủ (kiểu dữ liệu, PK thật, có SCD2 hay không) khi sinh LLD — xem Section 3 #58"
66,PROMOTION_ID,Ưu đãi phí,DIM_RLOS_CARD_PROMOTION,DESCRIPTION,KHOP,"Join qua FCT_RLOS_APPLICATION_DAILY.CARD_PROMOTION_SK → DIM_RLOS_CARD_PROMOTION (2.3.1.9, nguồn NG_SB_RLOS_MAS_CARD_PROMOTIO)"
67,HOME_ADDRESS,Địa chỉ nhận Pin/Thẻ,FCT_RLOS_APPLICATION_DAILY,T24_SEAB_MAIN_CARD_SK → STG_DIM_SEAB_MAIN_CARD.HOME_ADDRESS,KHOP,"Đính chính (review 2026-09-21) — cùng lý do K_TYPE (dòng 65): đã đặt sẵn khóa T24_SEAB_MAIN_CARD_SK trên FCT_RLOS_APPLICATION_DAILY (PDTD_DTM, 2.3.2.1 cột 83), lookup theo RESULT_MAIN_CARD_ID = STG_DIM_SEAB_MAIN_CARD.RECID. Người dùng xác nhận bảng chắc chắn tồn tại trên hệ thống — đóng KHOP. ⚠️ Còn cần DBA/DEV cung cấp cấu trúc cột đầy đủ khi sinh LLD — xem Section 3 #58"
68,LOAN_AMOUNT,Số tiền phê duyệt,FCT_RLOS_APPLICATION_DAILY,APPROVED_AMT_FINAL,KHOP,Cột 51 — nguồn NG_SB_RLOS_CREDIT_PROPOSAL.LOAN_AMOUNT
69,LOAN_TERM,Thời hạn phê duyệt (tháng),FCT_RLOS_APPLICATION_DAILY,APPROVED_TERM,KHOP,Cột 52 — nguồn NG_SB_RLOS_CREDIT_PROPOSAL.LOAN_TERM
70,INTEREST_RATE,Lãi suất phê duyệt (%/năm),FCT_RLOS_APPLICATION_DAILY,INTEREST_RATE_PCT,KHOP,Cột 53 — ép kiểu từ NG_SB_RLOS_CREDIT_PROPOSAL.CURRENT_RATE
71,MIN_UWM,Thời gian hồ sơ lên CV thẩm định,FCT_RLOS_APPLICATION_DAILY,MIN_UWM,KHOP,Cột 30 — MIN(ENTRYDATE) tại UnderwriterMaker
72,MIN_APP,Thời gian hồ sơ lên CG phê duyệt,FCT_RLOS_APPLICATION_DAILY,MIN_APP,KHOP,Cột 31 — MIN(ENTRYDATE) tại CreditApproval/CreditCommittee
73,LAST_APPROVAL_DATE,Thời gian phê duyệt cuối cùng,FCT_RLOS_APPLICATION_DAILY,LAST_APPROVAL_DATE,KHOP,"Cột 29 — MAX(EXITDATE) tại bước phê duyệt. Có bản trùng có chủ đích trên DIM_RLOS_APPLICATION.LAST_APPROVAL_DATE (dùng cho BC10, xem cột 23 DIM), không phải lỗi trùng lặp"
74,CAN_USER_DATE,Thời gian cancel do NSD,FCT_RLOS_APPLICATION_DAILY,CANCEL_USER_DATE,KHOP,Cột 33 — EXITDATE tại DECISION='Cancel' AND USERNAME IS NOT NULL
75,AUTO_CAN_DATE,Thời gian cancel tự động,FCT_RLOS_APPLICATION_DAILY,AUTO_CANCEL_DATE,KHOP,Cột 32 — ngày hệ thống tự động chuyển hồ sơ sang CancelRevoke
76,FLAG_AUTO_CAN,Hồ sơ cancel tự động (YES/NO),FCT_RLOS_APPLICATION_DAILY,FLAG_AUTO_CANCEL,KHOP,Cột 42 — 'YES' nếu AUTO_CANCEL_DATE khác NULL
77,LAST_CAN_REMARKS,Ghi chú tại bước Cancel,FCT_RLOS_APPLICATION_DAILY,LAST_CAN_REMARKS,KHOP,Cột 45 — ghi chú tại lần hủy hồ sơ
78,BRANCH_USER,User Chi nhánh,FCT_RLOS_APPLICATION_DAILY,BRANCH_USER,KHOP,"Cột 14 — User xử lý bước BranchSupport, hoàn tất gần nhất"
79,DDE_USER,User Chuyên viên nhập liệu,FCT_RLOS_APPLICATION_DAILY,DDE_USER,KHOP,"Cột 15 — User xử lý bước DetailDataEntry, hoàn tất gần nhất"
80,QUALITY_CHECKER,User Kiểm soát nhập liệu,FCT_RLOS_APPLICATION_DAILY,QC_USER,KHOP,Cột 16 — User xử lý bước DataInputerChecker
81,UND_MAKER,User Chuyên viên thẩm định,FCT_RLOS_APPLICATION_DAILY,UND_MAKER_USER,KHOP,Cột 17
82,UND_CHECKER,User Kiểm soát thẩm định,FCT_RLOS_APPLICATION_DAILY,UND_CHECKER_USER,KHOP,Cột 18
83,PHV_USER,User Chuyên viên Thẩm định điện thoại,FCT_RLOS_APPLICATION_DAILY,PHV_USER,KHOP,Cột 19 — User xử lý bước PhoneVerification
84,BI_APPROVER,User Chuyên gia phê duyệt,FCT_RLOS_APPLICATION_DAILY,APPROVER_USER,KHOP,"Cột 21 — User xử lý bước CreditApproval, hoàn tất gần nhất"
85,Loan Objective,Mục đích cho vay,FCT_RLOS_APPLICATION_DAILY,LOAN_OBJECTIVE,KHOP,Cột 55 — nguồn NG_SB_RLOS_CREDIT_PROPOSAL.LOAN_OBJECTIVE
86,SPP_Amount,Giá trị của sản phẩm phụ,FCT_RLOS_SUB_PRODUCT,SPP_AMOUNT,KHOP,Cột 9 — UNION LIMIT_NO của 5 bảng sản phẩm phụ
87,SPP_Term,Thời hạn của sản phẩm phụ,FCT_RLOS_SUB_PRODUCT,SPP_TERM,KHOP,Cột 10 — CREDIT_CARD_APP.TERM; các bảng khác .TIME_VALID
