stt,he_thong,truong_bao_cao,y_nghia,bang_dtm,cot_dtm,trang_thai,ghi_chu
52,RLOS,WINAME,Mã hồ sơ,FCT_RLOS_APPLICATION_DAILY,WI_NAME,KHOP,Khóa chính (PK) của bảng
53,RLOS,BI_APPSTATUS,Trạng thái hồ sơ,FCT_RLOS_APPLICATION_DAILY,BI_APPSTATUS,KHOP,Cột 37 — cùng cột đã dùng cho BC1.BI_APPSTATUS
54,RLOS,STEP01_BRANCH_CL_TAT,Tổng thời gian xử lý tại chi nhánh theo Calendar minutes,FCT_RLOS_WORKSTEP_EVENT,TAT_CALENDAR_HOUR,KHOP,"PHÁI SINH: SUM(TAT_CALENDAR_HOUR) WHERE WORKSTEP_CODE='BranchSupport' (RLOS không có biến thể 'RLOS_BranchSupport' như CLOS, khớp đúng SRS chỉ 1 mã)"
55,RLOS,STEP01_BRANCH_WK_TAT,Tổng thời gian xử lý tại chi nhánh theo Working minutes,FCT_RLOS_WORKSTEP_EVENT,TAT_WORKING_HOUR,KHOP,PHÁI SINH: SUM(TAT_WORKING_HOUR) WHERE WORKSTEP_CODE='BranchSupport'
56,RLOS,STEP01_BRANCH_TAT_CPC,Tổng thời gian xử lý tại chi nhánh theo cam kết SLA,FCT_RLOS_WORKSTEP_EVENT,TAT_CPC_HOUR,KHOP,PHÁI SINH: SUM(TAT_CPC_HOUR) WHERE WORKSTEP_CODE='BranchSupport'
57,RLOS,STEP02_DDE_CL_TAT,Tổng thời gian tất cả các bước DetailDataEntry theo Calendar minutes,FCT_RLOS_WORKSTEP_EVENT,TAT_CALENDAR_HOUR,KHOP,"PHÁI SINH: SUM(TAT_CALENDAR_HOUR) WHERE WORKSTEP_CODE='DetailDataEntry' (chỉ 1 mã, khác CLOS có 2 biến thể)"
58,RLOS,STEP02_DDE_WK_TAT,Tổng thời gian tất cả các bước DetailDataEntry theo Working minutes,FCT_RLOS_WORKSTEP_EVENT,TAT_WORKING_HOUR,KHOP,PHÁI SINH: SUM(TAT_WORKING_HOUR) WHERE WORKSTEP_CODE='DetailDataEntry'
59,RLOS,STEP02_DDE_TAT_CPC,Tổng thời gian tất cả các bước DetailDataEntry theo cam kết SLA,FCT_RLOS_WORKSTEP_EVENT,TAT_CPC_HOUR,KHOP,PHÁI SINH: SUM(TAT_CPC_HOUR) WHERE WORKSTEP_CODE='DetailDataEntry'. So sánh với SLA_DE ra SLA_DE_RESULT
60,RLOS,STEP03_QUALITY_CHECKER_CL_TAT,Tổng thời gian tất cả các bước DataInputerChecker theo Calendar minutes,FCT_RLOS_WORKSTEP_EVENT,TAT_CALENDAR_HOUR,KHOP,PHÁI SINH: SUM(TAT_CALENDAR_HOUR) WHERE WORKSTEP_CODE='DataInputerChecker'
61,RLOS,STEP03_QUALITY_CHECKER_WK_TAT,Tổng thời gian tất cả các bước DataInputerChecker theo Working minutes,FCT_RLOS_WORKSTEP_EVENT,TAT_WORKING_HOUR,KHOP,PHÁI SINH: SUM(TAT_WORKING_HOUR) WHERE WORKSTEP_CODE='DataInputerChecker'
62,RLOS,STEP03_QUALITY_CHECKER_TAT_CPC,Tổng thời gian tất cả các bước DataInputerChecker theo cam kết SLA,FCT_RLOS_WORKSTEP_EVENT,TAT_CPC_HOUR,KHOP,PHÁI SINH: SUM(TAT_CPC_HOUR) WHERE WORKSTEP_CODE='DataInputerChecker'. So sánh với SLA_QC ra SLA_QC_RESULT
63,RLOS,STEP04_UNDMAKER_CL_TAT,Tổng thời gian tất cả các bước UnderwriterMaker theo Calendar minutes,FCT_RLOS_WORKSTEP_EVENT,TAT_CALENDAR_HOUR,KHOP,PHÁI SINH: SUM(TAT_CALENDAR_HOUR) WHERE WORKSTEP_CODE='UnderwriterMaker'
64,RLOS,STEP04_UNDMAKER_WK_TAT,Tổng thời gian tất cả các bước UnderwriterMaker theo Working minutes,FCT_RLOS_WORKSTEP_EVENT,TAT_WORKING_HOUR,KHOP,PHÁI SINH: SUM(TAT_WORKING_HOUR) WHERE WORKSTEP_CODE='UnderwriterMaker'
65,RLOS,STEP04_UNDMAKER_TAT_CPC,Tổng thời gian tất cả các bước UnderwriterMaker theo cam kết SLA,FCT_RLOS_WORKSTEP_EVENT,TAT_CPC_HOUR,KHOP,PHÁI SINH: SUM(TAT_CPC_HOUR) WHERE WORKSTEP_CODE='UnderwriterMaker'. So sánh với SLA_MARKER
66,RLOS,STEP04_UNDCHECKER_CL_TAT,Tổng thời gian tất cả các bước UnderwriterChecker theo Calendar minutes,FCT_RLOS_WORKSTEP_EVENT,TAT_CALENDAR_HOUR,KHOP,PHÁI SINH: SUM(TAT_CALENDAR_HOUR) WHERE WORKSTEP_CODE='UnderwriterChecker'
67,RLOS,STEP04_UNDCHECKER_WK_TAT,Tổng thời gian tất cả các bước UnderwriterChecker theo Working minutes,FCT_RLOS_WORKSTEP_EVENT,TAT_WORKING_HOUR,KHOP,PHÁI SINH: SUM(TAT_WORKING_HOUR) WHERE WORKSTEP_CODE='UnderwriterChecker'
68,RLOS,STEP04_UNDCHECKER_TAT_CPC,Tổng thời gian tất cả các bước UnderwriterChecker theo cam kết SLA,FCT_RLOS_WORKSTEP_EVENT,TAT_CPC_HOUR,KHOP,PHÁI SINH: SUM(TAT_CPC_HOUR) WHERE WORKSTEP_CODE='UnderwriterChecker'. So sánh với SLA_CHECKER
69,RLOS,STEP04_UND_TAT_CPC,Tổng thời gian tất cả các bước UnderwriterMaker và UnderwriterChecker theo cam kết SLA,FCT_RLOS_WORKSTEP_EVENT,TAT_CPC_HOUR,KHOP,"PHÁI SINH: SUM(TAT_CPC_HOUR) WHERE WORKSTEP_CODE IN ('UnderwriterMaker','UnderwriterChecker'). So sánh với SLA_CREDIT_OFFICER"
70,RLOS,STEP07_APPROVER_CL_TAT,Tổng thời gian tất cả các bước CreditApproval theo Calendar minutes,FCT_RLOS_WORKSTEP_EVENT,TAT_CALENDAR_HOUR,KHOP,PHÁI SINH: SUM(TAT_CALENDAR_HOUR) WHERE WORKSTEP_CODE='CreditApproval'
71,RLOS,STEP07_APPROVER_WK_TAT,Tổng thời gian tất cả các bước CreditApproval theo Working minutes,FCT_RLOS_WORKSTEP_EVENT,TAT_WORKING_HOUR,KHOP,PHÁI SINH: SUM(TAT_WORKING_HOUR) WHERE WORKSTEP_CODE='CreditApproval'
72,RLOS,STEP07_APPROVER_TAT_CPC,Tổng thời gian tất cả các bước CreditApproval theo cam kết SLA,FCT_RLOS_WORKSTEP_EVENT,TAT_CPC_HOUR,KHOP,PHÁI SINH: SUM(TAT_CPC_HOUR) WHERE WORKSTEP_CODE='CreditApproval'. So sánh với SLA_CREDIT_APPROVER
73,RLOS,STEP07_COMMITTEE_CL_TAT,Tổng thời gian tất cả các bước CreditCommittee theo Calendar minutes,FCT_RLOS_WORKSTEP_EVENT,TAT_CALENDAR_HOUR,KHOP,"PHÁI SINH: SUM(TAT_CALENDAR_HOUR) WHERE WORKSTEP_CODE='CreditCommittee' — RLOS có bước CreditCommittee thật trong workflow event (đã xác nhận lại khi giải quyết BC3, review 2026-09-21)"
74,RLOS,STEP07_COMMITTEE_WK_TAT,Tổng thời gian tất cả các bước CreditCommittee theo Working minutes,FCT_RLOS_WORKSTEP_EVENT,TAT_WORKING_HOUR,KHOP,PHÁI SINH: SUM(TAT_WORKING_HOUR) WHERE WORKSTEP_CODE='CreditCommittee'
75,RLOS,REF_PRODUCT,Nhóm sản phẩm SLA,DIM_RLOS_APPLICATION,REF_PRODUCT,KHOP,"Cột 27 — LEFT JOIN RLOS_REF_SLA_TDKHCN theo PRODUCT_LINE+CHANGE_TYPE(either/or)+DEVIATION_G3+SECONDARY_PRODUCTLINE+APP_GRP. Cùng cột đã dùng cho BC1 (đã xác nhận rule bỏ qua NULL cho DEVIATION_G3/SECONDARY_PRODUCTLINE, review 2026-09-18)"
76,RLOS,SLA_CREDIT_OFFICER,Cam kết SLA của Phòng thẩm định,DIM_RLOS_APPLICATION,SLA_CREDIT_OFFICER,KHOP,Cột 28 — cùng LEFT JOIN trên
77,RLOS,SLA_CREDIT_APPROVER,Cam kết SLA của Chuyên gia phê duyệt,DIM_RLOS_APPLICATION,SLA_CREDIT_APPROVER,KHOP,Cột 31 — cùng LEFT JOIN trên
78,RLOS,SLA_MARKER,Cam kết SLA của Chuyên viên thẩm định,DIM_RLOS_APPLICATION,SLA_MARKER,KHOP,Cột 29 — cùng LEFT JOIN trên
79,RLOS,SLA_CHECKER,Cam kết SLA của Kiểm soát thẩm định,DIM_RLOS_APPLICATION,SLA_CHECKER,KHOP,Cột 30 — cùng LEFT JOIN trên
80,RLOS,SLA_MARKER_RESUTL,Kết quả SLA của Chuyên viên thẩm định,,so sánh STEP04_UNDMAKER_TAT_CPC vs SLA_MARKER,KHOP,"PHÁI SINH ở tầng report, so sánh dòng 65 và 78"
81,RLOS,SLA_CHECKER_RESUTL,Kết quả SLA của Kiểm soát thẩm định,,so sánh STEP04_UNDCHECKER_TAT_CPC vs SLA_CHECKER,KHOP,"PHÁI SINH ở tầng report, so sánh dòng 68 và 79"
82,RLOS,SLA_CO_RESUTL,Kết quả SLA của Phòng thẩm định,,so sánh STEP04_UND_TAT_CPC vs SLA_CREDIT_OFFICER,KHOP,"PHÁI SINH ở tầng report, so sánh dòng 69 và 76"
83,RLOS,SLA_APPROVER_RESULT,Kết quả SLA của Chuyên gia phê duyệt,,so sánh STEP07_APPROVER_TAT_CPC vs SLA_CREDIT_APPROVER,KHOP,"PHÁI SINH ở tầng report, so sánh dòng 72 và 77"
84,RLOS,SLA_CO_APPROVER_RESULT,Kết quả SLA của Phòng thẩm định và Chuyên gia phê duyệt,,so sánh (STEP04_UND_TAT_CPC+STEP07_APPROVER_TAT_CPC) vs (SLA_CREDIT_OFFICER+SLA_CREDIT_APPROVER),KHOP,PHÁI SINH ở tầng report
