stt,he_thong,truong_bao_cao,y_nghia,bang_dtm,cot_dtm,trang_thai,ghi_chu
12,CLOS,FIRST_WORKSTEP_RETURN,Bước trả về lần đầu,FCT_CLOS_EXCEPTION,FIRST_WORKSTEP_RETURN,KHOP,"Cột 14 — PHÁI SINH: WORKSTEP tại MIN(EXITDATE) theo WI_NAME với điều kiện EXITDATE IS NOT NULL AND (3 nhánh WORKSTEP/DECISION), khớp đúng nguyên văn SRS (review 2026-09-18, bổ sung nhánh thứ 3 UnderwriterMaker+Send_Back to BranchSupport)"
13,CLOS,PHAN_LOAI_DDE,Lỗi Nhập liệu/Thiếu Checklist,FCT_CLOS_EXCEPTION,PHAN_LOAI_DDE,KHOP,"Cột 15 — PHÁI SINH: LEFT JOIN REF_PHAN_LOAI_DDE (2.4.10) theo EXCEPTION_CATEGORY + SYSTEMNAME='CLOS' (review 2026-09-18, thay công thức CASE-WHEN cũ)"
14,RLOS,PROCESSED_DATE,Ngày dữ liệu,FCT_RLOS_EXCEPTION,RAISED_DATE_TIME,KHOP,"⚠️ Lưu ý SRS ghi trực tiếp RAISED_DATE_TIME (không TRUNC như nhánh CLOS) — giữ nguyên theo SRS, khác định dạng PROCESSED_DATE của CLOS (đã TRUNC). Cột RAISED_DATE_TIME là 1 phần PK"
15,RLOS,WI_NAME,Mã hồ sơ,FCT_RLOS_EXCEPTION,WI_NAME,KHOP,"Khóa chính (PK)"
16,RLOS,ACTIVITYNAME,Tên bước,DIM_RLOS_EXCEPTION_REASON,ACTIVITYNAME,KHOP,"Join qua FCT_RLOS_EXCEPTION.EXCEPTION_REASON_SK → DIM_RLOS_EXCEPTION_REASON (2.3.1.5). Cùng cơ chế lookup 2 bước như CLOS, EXISTS-filter qua NG_SB_RLOS_ENTRY_EXIT (đúng hệ, không lỗi copy-paste như khối CLOS)"
17,RLOS,EXCEPTION_CATEGORY,Nhóm lý do quyết định,FCT_RLOS_EXCEPTION,EXCEPTION_CATEGORY,KHOP,"Nguồn NG_SB_RLOS_EXCEPTION.EXCEPTION_CATEGORY, cũng là 1 phần PK"
18,RLOS,EXCEPTION_NAME,Tên lý do,FCT_RLOS_EXCEPTION,EXCEPTION_NAME,KHOP,"Nguồn NG_SB_RLOS_EXCEPTION.EXCEPTION_NAME"
19,RLOS,EXCEPTION_REMARKS,Ý kiến,FCT_RLOS_EXCEPTION,EXCEPTION_REMARKS,KHOP,"Nguồn NG_SB_RLOS_EXCEPTION.EXCEPTION_REMARKS"
20,RLOS,RAISED_BY,User tạo lý do,FCT_RLOS_EXCEPTION,RAISED_BY,KHOP,"Nguồn NG_SB_RLOS_EXCEPTION.RAISED_BY, cũng là 1 phần PK"
21,RLOS,RAISED_DATE_TIME,Thời gian tạo lý do,FCT_RLOS_EXCEPTION,RAISED_DATE_TIME,KHOP,"Nguồn NG_SB_RLOS_EXCEPTION.RAISED_DATE_TIME, cũng là 1 phần PK"
22,RLOS,EXCEPTION_CODE,Code lý do,DIM_RLOS_EXCEPTION_REASON,EXCEPTION_CODE,KHOP,"Join qua EXCEPTION_REASON_SK → DIM_RLOS_EXCEPTION_REASON (2.3.1.5, cột 8) — đã tính sẵn PHÁI SINH REGEXP_SUBSTR (HLD_DIM_SB_DWH.md:1608)"
23,RLOS,LOANCASEID,Mã LOANCASEID,DIM_RLOS_APPLICATION,LOANCASEID,KHOP,"Join qua APPLICATION_SK → DIM_RLOS_APPLICATION (cột 5). Cũng có sẵn trực tiếp trên FCT_RLOS_EXCEPTION.LOANCASEID (cột 16, bổ sung tại PDTD_DTM, HLD_Table_Design.md:6511) — ưu tiên dùng cột trực tiếp"
24,RLOS,CHECK_FTR,Hồ sơ đạt FTR hay không đạt FTR,FCT_RLOS_EXCEPTION,CHECK_FTR,KHOP,"PHÁI SINH: whitelist theo EXCEPTION_NAME/EXCEPTION_CATEGORY kết hợp phân nhóm BI_SUB_PRODUCT ('Credit Card' vs khác), khớp đúng nguyên văn SRS BC7 nhánh RLOS — bê 1:1 từ SB_DWH"
25,RLOS,FIRST_WORKSTEP_RETURN,Bước trả về lần đầu,FCT_RLOS_EXCEPTION,FIRST_WORKSTEP_RETURN,KHOP,"PHÁI SINH: WORKSTEP tại MIN(EXITDATE) với 3 nhánh điều kiện WORKSTEP/DECISION, cùng công thức pattern như CLOS nhưng đọc NG_SB_RLOS_ENTRY_EXIT"
26,RLOS,PHAN_LOAI_DDE,Lỗi Nhập liệu/Thiếu Checklist,FCT_RLOS_EXCEPTION,PHAN_LOAI_DDE,KHOP,"PHÁI SINH: LEFT JOIN REF_PHAN_LOAI_DDE (2.4.10) theo EXCEPTION_CATEGORY + SYSTEMNAME='RLOS'"
